Qty,Value,SM/THT,Ref,Fitted? (Y/N),Device,Package,Parts,Description                                                                         MF,MPN,Farnell Order No
1,,SM,CRY0003,Y,CRYSTAL10.5X4.8,CRYSTAL-SMD-10.5X4.8-2PIN,Y1,Various standard crystals. Proven footprints. Spark Fun Electronics SKU : COM-00534,HC49SM-20-30-50-60-16-ATF,1667018
2,,SM,LED0001,Y,LEDCHIP-LED0805,CHIP-LED0805,"POWER, STATUS",LED,150080RS75000,2322077
2,,THT,HDR0016,Y,PINHD-1X2,1X02,"JP2, JP3",PIN HEADER,22-04-1021,9730940
1,,THT,,N,PINHD-2X5,2X05,JP1,PIN HEADER,,
2,,SM,ZEN0001,Y,SUPPRESSOR-SMBJ,SMBJ,"D1, D2",Suppressor diode,1SMB5932BT3G,2728690
1,100k,SM,RES0027,Y,R-EU_M0805,M0805,R4,"RESISTOR, European symbol",CRCW0805100KFKEAC,2447551
1,10n,SM,CAP0017,Y,C-EUC0805,C0805,C5,"CAPACITOR, European symbol",C0805C103J5RACTU,1650861
2,10µ,SM,CAP0008,Y,C-EUC0805,C0805,"C3, C4","CAPACITOR, European symbol",C0805C106K4PAC,1463362
1,1M,SM,RES0037,Y,R-EU_M0805,M0805,R3,"RESISTOR, European symbol",CRCW08051M00FKEA,1652946
2,2060-402,SM,,N,2060-402,2060-402,"IN, OUT",,,
2,20p,SM,CAP0016,Y,C-EUC0805,C0805,"C2, C6","CAPACITOR, European symbol",C0805C200K5GACTU,2905234
1,20pf,SM,CAP0016,Y,C-EUC0805,C0805,C1,"CAPACITOR, European symbol",C0805C200K5GACTU,2905234
3,270R,SM,RES0038,Y,R-EU_M0805,M0805,"R1, R5, R6","RESISTOR, European symbol",CRCW0805270RFKEA,1652970
2,4N25SM,SM,OPT0001,Y,4N25SM,DIL6-SMD,"OK1, OK2",General Purpose 6-Pin Phototransistor Optocouplers                                  FAIRCHILD SEMICONDUCTOR,4N25SM,1021152
2,4k7,SM,RES0017,Y,R-EU_M0805,M0805,"R2, R10","RESISTOR, European symbol",CRCW08054K70FKEAC,2447672
1,BC847ALT1SMD,SM,TRA0004,Y,BC847ALT1SMD,SOT23,T3,NPN Transistor,BC847ALT1G,1459037
1,MEGA8-AI,SM,IC0011,Y,MEGA8-AI,TQFP32-08,IC1,MICROCONTROLLER,ATMEGA8-16AU,9171371
2,RJ45-8PTH,THT,HDR0015,Y,RJ45-8PTH,RJ45-8,"J1, J2",RJ45 Jack,615008138021,1841170
1,RS485SOIC,SM,IC0010,Y,RS485SOIC,SO08,IC2,RS485 transceiver,SP3082EEN-L/TR,2889574
2,,,HSG0003,Y,,,,2 Pole Housing Molex,511910200,3050088
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,25 SMT Parts,,,,,,,,
,,16 different parts,,,,,,,,
